time,t_hts_1,t_hts_2,t_hts_3,t_hts_4,t_lts_1,t_lts_0,t_fpsc,t_vtsc,t_amb,v_ppsc,v_pssc,b_ac,i_g
2020-05-27 09:21:32+02:00,56.8,55.0,47.2,45.0,20.7,22.0,63.8,66.0,17.2,100,95,0,588.092
2020-05-27 09:21:37+02:00,56.8,55.0,47.2,45.0,20.7,22.0,63.8,65.9,17.2,100,96,0,588.367
2020-05-27 09:21:42+02:00,56.8,55.1,47.2,45.0,20.7,22.0,63.9,65.9,17.2,100,96,0,588.8
2020-05-27 09:21:47+02:00,56.9,55.1,47.2,45.0,20.7,22.0,64.0,65.8,17.2,100,96,0,589.308
2020-05-27 09:21:52+02:00,56.9,55.1,47.2,45.0,20.7,22.0,64.1,65.8,17.2,100,97,0,589.6
2020-05-27 09:21:57+02:00,56.9,55.2,47.2,45.0,20.7,22.0,64.2,65.7,17.2,100,97,0,590.1080000000001
2020-05-27 09:22:02+02:00,56.9,55.3,47.2,45.0,20.7,22.0,64.3,65.7,17.2,100,97,0,590.3580000000001
2020-05-27 09:22:07+02:00,57.0,55.3,47.2,45.0,20.7,22.0,64.4,65.6,17.2,100,96,1,590.558
2020-05-27 09:22:12+02:00,57.0,55.4,47.2,45.0,20.7,22.0,64.5,65.5,17.2,100,95,1,590.867
2020-05-27 09:22:17+02:00,57.1,55.4,47.2,45.0,20.7,22.0,64.6,65.5,17.2,100,95,1,591.25
2020-05-27 09:22:22+02:00,57.1,55.4,47.2,45.0,20.7,22.0,64.7,65.4,17.2,100,95,1,591.617
2020-05-27 09:22:27+02:00,57.1,55.4,47.2,45.0,20.7,22.0,64.8,65.4,17.3,100,95,1,591.925
